employee_id,department,region,education,gender,recruitment_channel,no_of_trainings,age,previous_year_rating,length_of_service,awards_won?,avg_training_score,is_promoted
10316,Operations,region_13,Bachelor's,f,sourcing,1,27,5.0,5,0,59,0
74037,Analytics,region_28,Bachelor's,m,other,1,29,3.0,2,0,87,0
31182,Sales & Marketing,region_22,Master's & above,f,sourcing,1,37,2.0,11,0,51,0
11289,Finance,region_2,Bachelor's,m,sourcing,2,32,4.0,5,0,61,0
31209,Sales & Marketing,region_22,Bachelor's,f,sourcing,1,34,4.0,5,0,46,0
68770,Analytics,region_2,Bachelor's,m,other,2,31,5.0,7,0,82,0
3082,Sales & Marketing,region_7,Master's & above,m,sourcing,2,45,1.0,6,0,51,0
52390,Sales & Marketing,region_7,Master's & above,f,other,1,33,5.0,8,0,46,0
57064,Sales & Marketing,region_2,Bachelor's,m,sourcing,2,30,5.0,9,0,44,0
27103,Technology,region_2,Bachelor's,m,other,1,44,5.0,15,0,77,0
38535,Sales & Marketing,region_34,Bachelor's,m,sourcing,1,30,4.0,8,0,55,0
73515,HR,region_7,Bachelor's,m,sourcing,1,28,3.0,4,0,51,0
54405,Technology,region_7,Bachelor's,f,sourcing,1,32,1.0,8,0,80,0
15422,HR,region_15,Master's & above,m,sourcing,1,34,1.0,6,0,47,0
73982,Operations,region_22,Bachelor's,f,sourcing,1,50,4.0,21,0,59,0
16995,Sales & Marketing,region_4,Bachelor's,m,other,1,31,5.0,6,0,52,0
11304,Procurement,region_13,Bachelor's,m,other,1,50,3.0,21,0,71,0
41684,R&D,region_15,Bachelor's,m,other,2,31,5.0,4,0,85,0
71961,Finance,region_7,Master's & above,f,other,1,34,3.0,8,0,60,0
49448,HR,region_2,Master's & above,m,other,1,52,3.0,14,0,52,0
55926,Sales & Marketing,region_23,Master's & above,m,other,1,34,3.0,7,0,50,0
29695,Sales & Marketing,region_2,Master's & above,m,other,1,43,3.0,6,0,57,0
20329,Analytics,region_32,Bachelor's,m,other,1,42,4.0,14,0,87,0
59104,Operations,region_5,Bachelor's,m,other,1,31,5.0,7,0,61,0
21320,Sales & Marketing,region_7,Master's & above,m,other,1,43,5.0,6,0,52,0
47581,HR,region_15,Bachelor's,f,sourcing,1,36,3.0,6,0,54,0
42449,Analytics,region_28,Master's & above,m,other,1,32,1.0,6,0,84,0
40726,Procurement,region_7,Master's & above,m,sourcing,1,48,1.0,17,0,67,0
28317,Procurement,region_2,Bachelor's,m,other,1,51,3.0,6,0,75,0
6559,Operations,region_1,Master's & above,f,sourcing,2,31,4.0,6,0,58,0
52679,Operations,region_7,Master's & above,m,sourcing,1,46,3.0,19,0,59,0
58418,Procurement,region_31,Bachelor's,f,sourcing,1,34,2.0,7,0,68,0
43658,Operations,region_22,Bachelor's,m,other,2,47,4.0,14,0,59,0
69760,Finance,region_22,Bachelor's,m,sourcing,2,28,4.0,2,0,61,0
30280,Technology,region_16,Bachelor's,f,other,2,36,3.0,10,0,79,0
10624,Procurement,region_7,Master's & above,f,other,1,39,3.0,5,0,69,0
18436,Technology,region_2,Bachelor's,m,other,1,38,3.0,10,0,79,0
3297,Technology,region_2,Bachelor's,m,other,1,53,3.0,6,0,80,0
47765,Procurement,region_2,Master's & above,f,sourcing,1,39,1.0,12,0,69,0
39152,Operations,region_2,Below Secondary,f,sourcing,2,24,3.0,2,0,63,1
40365,Sales & Marketing,region_16,Bachelor's,m,other,1,29,2.0,2,0,52,0
29814,Operations,region_13,Bachelor's,f,other,1,42,3.0,13,0,64,0
20256,Sales & Marketing,region_2,Bachelor's,m,sourcing,1,31,4.0,2,0,49,0
32783,Analytics,region_31,Bachelor's,m,other,1,43,3.0,3,0,85,0
30209,Technology,region_7,Master's & above,m,sourcing,1,30,3.0,6,0,78,0
30783,Sales & Marketing,region_11,Master's & above,m,other,1,39,1.0,5,0,46,0
72226,Sales & Marketing,region_28,Bachelor's,m,other,2,33,3.0,3,0,51,0
60045,Technology,region_7,Bachelor's,f,sourcing,1,33,1.0,3,0,84,0
26010,Sales & Marketing,region_30,Master's & above,m,other,1,36,1.0,7,0,49,0
46916,Sales & Marketing,region_17,Bachelor's,m,sourcing,1,28,4.0,4,0,55,0
34728,Technology,region_26,Master's & above,f,sourcing,1,40,1.0,5,0,76,0
55527,Technology,region_16,Bachelor's,m,sourcing,2,35,3.0,8,0,79,0
6037,Procurement,region_24,Bachelor's,m,other,3,30,3.0,5,0,64,0
110,Operations,region_21,Bachelor's,m,sourcing,1,53,5.0,8,0,60,0
59542,Sales & Marketing,region_16,Bachelor's,m,other,3,30,3.0,4,0,50,0
7239,Technology,region_23,Bachelor's,m,sourcing,1,26,3.0,2,0,81,1
60611,Sales & Marketing,region_26,Bachelor's,m,sourcing,1,41,1.0,13,0,49,0
14690,Procurement,region_2,Master's & above,m,sourcing,1,30,3.0,4,0,69,0
58200,Legal,region_2,Bachelor's,m,other,1,29,5.0,2,0,63,0
76032,Sales & Marketing,region_19,Bachelor's,m,sourcing,1,32,4.0,6,0,49,0
31235,Technology,region_26,Bachelor's,m,other,1,36,4.0,13,0,79,0
18435,Sales & Marketing,region_14,Bachelor's,f,sourcing,1,33,2.0,3,0,50,0
73215,Sales & Marketing,region_22,Master's & above,f,other,2,32,3.0,6,0,51,0
76151,Analytics,region_13,Bachelor's,m,other,1,46,5.0,5,0,85,0
19213,Operations,region_22,Bachelor's,m,sourcing,1,27,2.0,1,0,56,0
62011,Operations,region_22,Bachelor's,f,sourcing,1,24,3.0,2,0,63,0
31229,Finance,region_2,Bachelor's,m,other,1,37,4.0,5,0,57,0
9605,Sales & Marketing,region_26,Bachelor's,m,sourcing,1,32,3.0,7,0,46,0
5459,Analytics,region_26,Bachelor's,m,other,1,29,3.0,4,0,82,0
63597,Analytics,region_31,Bachelor's,m,sourcing,1,27,4.0,4,0,88,0
17916,Sales & Marketing,region_32,Bachelor's,m,sourcing,2,38,2.0,12,0,51,0
63296,Analytics,region_26,Bachelor's,m,sourcing,1,52,5.0,19,0,84,0
66373,Operations,region_15,Bachelor's,m,other,1,40,4.0,9,0,59,0
42790,Legal,region_7,Master's & above,m,sourcing,1,39,3.0,10,0,56,0
30427,Sales & Marketing,region_4,Bachelor's,m,sourcing,2,32,3.0,4,0,48,0
76671,Operations,region_2,Bachelor's,m,other,1,38,1.0,7,0,65,0
30536,Sales & Marketing,region_2,Bachelor's,f,sourcing,1,29,1.0,3,0,49,0
67662,Sales & Marketing,region_5,Master's & above,m,other,1,42,1.0,15,0,51,0
39237,Sales & Marketing,region_16,Bachelor's,m,sourcing,1,29,2.0,4,0,49,0
22678,Legal,region_6,Bachelor's,m,other,1,28,3.0,3,0,60,0
77347,Procurement,region_26,Master's & above,m,other,1,56,3.0,14,0,73,0
63756,Operations,region_22,Below Secondary,m,other,1,28,2.0,2,0,71,1
36644,Operations,region_2,Master's & above,m,sourcing,1,55,5.0,8,0,63,0
13694,Operations,region_2,Master's & above,m,other,1,36,3.0,9,0,57,0
29028,Sales & Marketing,region_11,Master's & above,m,sourcing,1,37,4.0,4,1,52,0
58361,Analytics,region_22,Bachelor's,m,other,3,27,3.0,1,0,84,0
68181,Operations,region_2,Bachelor's,f,sourcing,2,43,3.0,4,0,60,0
8261,Sales & Marketing,region_15,Bachelor's,m,sourcing,1,31,3.0,2,0,51,0
34937,Operations,region_2,Bachelor's,f,other,1,43,2.0,12,0,58,0
29674,Technology,region_33,Bachelor's,m,sourcing,2,29,3.0,5,0,82,0
6945,R&D,region_11,Bachelor's,m,sourcing,4,31,3.0,4,0,87,0
54219,Sales & Marketing,region_1,Master's & above,m,sourcing,1,31,3.0,5,0,46,0
37037,Procurement,region_16,Master's & above,f,other,1,34,5.0,7,0,70,0
38146,Sales & Marketing,region_31,Master's & above,f,sourcing,1,34,2.0,9,0,53,0
71355,Technology,region_2,Bachelor's,m,other,1,47,5.0,6,0,76,0
29166,Operations,region_31,Bachelor's,f,sourcing,1,35,4.0,7,0,59,0
2773,Analytics,region_11,Bachelor's,m,other,1,32,4.0,5,0,85,0
77668,Operations,region_22,Bachelor's,m,sourcing,1,36,1.0,9,0,60,0
27372,Finance,region_22,Bachelor's,m,sourcing,1,25,4.0,4,0,63,0
69997,Analytics,region_7,Bachelor's,m,sourcing,1,31,4.0,7,0,80,0
45298,Sales & Marketing,region_13,Bachelor's,f,other,1,34,5.0,9,0,52,0
36060,Procurement,region_13,Bachelor's,f,other,1,33,3.0,3,1,70,1
7345,Sales & Marketing,region_7,Bachelor's,f,other,2,35,3.0,9,0,47,0
49088,Technology,region_27,Bachelor's,m,sourcing,1,32,5.0,8,0,82,0
71184,Procurement,region_7,Master's & above,f,other,1,44,2.0,10,0,67,0
35976,Technology,region_26,Bachelor's,m,other,1,39,5.0,9,0,83,0
2706,Finance,region_7,Master's & above,m,sourcing,2,42,3.0,2,0,58,0
20994,Sales & Marketing,region_28,Bachelor's,m,sourcing,1,35,1.0,9,0,51,0
22586,Operations,region_16,Bachelor's,f,sourcing,1,42,3.0,7,0,58,0
68642,Analytics,region_26,Bachelor's,m,sourcing,3,31,4.0,4,0,89,0
4694,R&D,region_2,Bachelor's,m,sourcing,3,32,4.0,5,0,79,0
20663,Analytics,region_4,Bachelor's,m,other,1,29,3.0,5,0,84,0
25172,Sales & Marketing,region_22,Master's & above,m,sourcing,1,33,3.0,6,0,50,0
28290,Procurement,region_27,Master's & above,f,sourcing,1,34,4.0,3,0,72,0
22602,Technology,region_7,Bachelor's,f,other,1,34,4.0,10,0,82,0
49639,Sales & Marketing,region_28,Bachelor's,m,other,1,29,2.0,4,0,46,0
54069,Finance,region_31,Bachelor's,m,other,2,27,3.0,2,0,62,0
49961,Technology,region_2,Bachelor's,m,referred,1,31,5.0,3,0,76,0
52993,Procurement,region_17,Master's & above,f,other,1,34,5.0,5,0,70,1
37878,Procurement,region_22,Master's & above,f,sourcing,1,36,3.0,5,0,72,0
13114,Procurement,region_2,Master's & above,m,sourcing,3,50,3.0,15,0,72,0
10181,Finance,region_22,Bachelor's,m,sourcing,1,23,5.0,2,0,57,0
4193,Operations,region_19,Bachelor's,m,sourcing,2,36,3.0,4,0,60,0
38359,Operations,region_13,Bachelor's,m,other,1,53,3.0,17,0,61,0
36726,Analytics,region_28,Master's & above,m,other,2,34,1.0,5,0,85,0
72966,Sales & Marketing,region_13,Bachelor's,m,sourcing,1,38,4.0,7,0,90,1
65706,Sales & Marketing,region_31,Bachelor's,m,sourcing,1,47,1.0,17,0,50,0
56685,Sales & Marketing,region_9,Bachelor's,m,sourcing,1,27,3.0,4,0,51,0
57822,Operations,region_4,Master's & above,m,other,1,43,3.0,6,0,60,0
22731,Procurement,region_23,Bachelor's,f,sourcing,1,32,2.0,6,0,68,0
48154,Operations,region_2,Master's & above,f,other,1,37,5.0,3,1,56,1
37374,Sales & Marketing,region_7,Bachelor's,m,other,1,52,2.0,2,0,45,0
39816,Procurement,region_22,Master's & above,m,other,1,38,2.0,4,0,65,0
72172,Technology,region_7,Master's & above,f,sourcing,1,34,4.0,10,0,86,0
53239,Technology,region_2,Master's & above,m,referred,1,51,3.0,2,0,80,0
8206,Operations,region_14,Bachelor's,m,other,1,29,2.0,5,0,63,0
75379,Operations,region_2,Master's & above,f,other,1,45,4.0,18,0,60,0
52798,Sales & Marketing,region_2,Master's & above,f,other,1,35,5.0,2,0,52,0
35562,Technology,region_6,Bachelor's,f,other,1,28,2.0,4,0,82,0
26520,Sales & Marketing,region_2,Master's & above,f,sourcing,1,43,4.0,4,0,50,0
66941,Operations,region_23,Master's & above,m,other,1,35,3.0,3,0,64,0
37725,Sales & Marketing,region_28,Bachelor's,m,sourcing,1,35,4.0,6,0,52,0
72821,HR,region_22,Master's & above,f,other,1,30,2.0,3,0,51,0
16118,Sales & Marketing,region_13,Bachelor's,m,other,1,28,5.0,4,0,48,0
31138,Operations,region_27,Bachelor's,f,sourcing,1,40,5.0,7,0,56,0
5603,Sales & Marketing,region_8,Bachelor's,m,sourcing,1,36,2.0,4,0,50,0
41838,Sales & Marketing,region_8,Bachelor's,m,sourcing,1,40,1.0,11,0,46,0
68884,Operations,region_2,Bachelor's,m,sourcing,2,59,3.0,18,0,58,0
22123,Sales & Marketing,region_3,Master's & above,m,sourcing,1,33,3.0,7,0,50,0
41026,Sales & Marketing,region_32,Bachelor's,m,sourcing,1,29,3.0,4,0,48,0
50638,Technology,region_23,Master's & above,m,other,1,37,3.0,5,0,74,0
42812,Sales & Marketing,region_15,Master's & above,m,other,1,42,1.0,7,0,52,0
23174,Sales & Marketing,region_14,Bachelor's,f,other,1,34,3.0,4,0,43,0
3734,Procurement,region_2,Below Secondary,f,other,2,26,3.0,1,0,75,0
58981,Sales & Marketing,region_27,Bachelor's,m,sourcing,1,39,3.0,11,0,52,0
37126,Analytics,region_23,Master's & above,m,other,2,34,4.0,3,0,83,0
42114,Analytics,region_22,Bachelor's,m,other,1,33,4.0,6,0,82,0
21243,Sales & Marketing,region_26,Bachelor's,m,sourcing,1,37,5.0,8,0,53,0
7545,Sales & Marketing,region_9,Bachelor's,m,other,4,30,3.0,5,0,51,0
51729,Analytics,region_22,Master's & above,m,other,1,33,4.0,4,0,86,0
2825,Operations,region_19,Bachelor's,f,other,1,41,3.0,10,0,59,0
61962,HR,region_2,Bachelor's,f,other,1,52,3.0,13,0,53,0
70392,Operations,region_15,Bachelor's,m,referred,1,35,4.0,4,0,61,0
73735,Analytics,region_25,Bachelor's,m,other,1,30,5.0,3,0,84,0
10720,Finance,region_4,Bachelor's,m,sourcing,1,31,3.0,6,0,61,1
20767,Operations,region_32,Bachelor's,f,sourcing,1,35,5.0,9,0,60,0
19740,HR,region_22,Bachelor's,f,other,1,27,5.0,4,0,48,0
34451,Procurement,region_16,Bachelor's,f,other,1,59,3.0,16,0,69,0
51540,Procurement,region_2,Bachelor's,m,other,2,25,3.0,2,0,70,0
3620,Operations,region_34,Bachelor's,m,sourcing,1,27,1.0,2,0,57,0
43464,Sales & Marketing,region_2,Bachelor's,m,other,1,42,4.0,2,0,48,0
50471,Technology,region_17,Bachelor's,m,other,1,32,4.0,5,0,80,0
52463,Technology,region_22,Bachelor's,m,referred,1,32,3.0,7,0,81,0
6276,Sales & Marketing,region_15,Bachelor's,m,other,1,43,5.0,12,0,50,0
29340,Sales & Marketing,region_29,Bachelor's,f,sourcing,1,30,3.0,6,0,46,0
32134,Sales & Marketing,region_2,Master's & above,m,other,1,34,5.0,2,0,48,0
61725,Sales & Marketing,region_27,Bachelor's,m,other,1,33,4.0,7,0,53,0
43977,Technology,region_23,Bachelor's,f,other,1,29,3.0,5,0,83,0
56692,Finance,region_22,Bachelor's,m,sourcing,1,29,1.0,4,0,58,0
75831,Sales & Marketing,region_3,Bachelor's,m,sourcing,1,30,5.0,9,0,48,0
75934,R&D,region_2,Master's & above,m,other,1,41,3.0,4,0,86,0
51323,Operations,region_22,Bachelor's,m,sourcing,1,28,5.0,4,0,57,1
45137,Procurement,region_2,Bachelor's,m,other,1,57,3.0,7,0,64,0
51787,Sales & Marketing,region_7,Master's & above,f,other,1,36,4.0,4,0,50,1
24739,Operations,region_26,Bachelor's,m,sourcing,1,31,4.0,5,0,61,0
44439,Operations,region_2,Master's & above,m,sourcing,2,46,3.0,5,0,61,0
40428,Technology,region_28,Bachelor's,f,other,1,27,4.0,4,0,81,0
260,Operations,region_11,Master's & above,m,other,1,48,4.0,16,0,56,0
24821,Procurement,region_10,Master's & above,m,other,2,30,3.0,6,0,74,0
30230,Finance,region_7,Master's & above,m,sourcing,1,39,4.0,5,0,62,0
48220,Analytics,region_20,Bachelor's,m,other,2,43,5.0,20,0,84,0
75299,Technology,region_2,Master's & above,m,sourcing,4,40,3.0,11,0,79,0
19569,Technology,region_2,Bachelor's,m,sourcing,1,38,4.0,7,0,82,0
40679,Procurement,region_7,Master's & above,m,other,1,40,5.0,12,0,67,0
14693,Sales & Marketing,region_28,Master's & above,m,sourcing,1,35,3.0,9,0,46,0
64505,Sales & Marketing,region_28,Bachelor's,m,other,1,35,5.0,4,0,49,0
4896,Sales & Marketing,region_13,Bachelor's,m,other,1,45,3.0,3,0,50,0
32408,Operations,region_13,Master's & above,m,other,1,35,3.0,4,0,56,0
34934,Operations,region_7,Master's & above,f,other,1,43,2.0,10,0,60,0
34299,Sales & Marketing,region_7,Master's & above,f,other,1,38,3.0,7,0,51,0
74353,Sales & Marketing,region_22,Bachelor's,m,other,1,31,3.0,5,0,49,0
52990,Finance,region_13,Bachelor's,m,sourcing,2,30,2.0,7,0,58,0
20640,Sales & Marketing,region_11,Master's & above,m,other,1,41,2.0,4,0,54,0
3661,Procurement,region_2,Bachelor's,f,other,2,25,3.0,5,0,74,0
2653,Sales & Marketing,region_5,Bachelor's,m,other,1,40,5.0,11,0,43,0
52234,Operations,region_15,Bachelor's,f,other,1,30,4.0,8,0,62,1
53090,Analytics,region_22,Bachelor's,m,sourcing,1,33,2.0,7,0,87,0
24007,Operations,region_32,Bachelor's,m,other,1,34,3.0,7,0,64,0
32482,Sales & Marketing,region_4,Bachelor's,m,sourcing,2,39,3.0,9,0,46,0
75669,Sales & Marketing,region_15,Bachelor's,m,sourcing,1,31,3.0,2,0,46,0
33484,Procurement,region_7,Bachelor's,f,other,1,47,5.0,3,0,68,0
33821,Technology,region_7,Bachelor's,f,other,3,40,5.0,13,0,84,0
71781,Technology,region_7,Bachelor's,m,other,3,28,4.0,5,0,80,0
6223,HR,region_20,Master's & above,m,other,1,41,5.0,12,0,50,0
60630,Procurement,region_2,Bachelor's,f,referred,1,34,4.0,4,0,69,0
13543,Analytics,region_21,Bachelor's,m,other,1,30,5.0,8,0,82,0
35687,Operations,region_26,Bachelor's,m,other,1,24,3.0,2,0,61,0
32125,Sales & Marketing,region_7,Bachelor's,f,other,1,35,3.0,10,0,52,0
15221,Sales & Marketing,region_27,Bachelor's,m,sourcing,1,33,4.0,6,0,60,1
43349,R&D,region_8,Bachelor's,m,other,1,36,4.0,3,0,89,0
36499,Finance,region_2,Bachelor's,f,other,2,31,4.0,6,0,60,0
40840,Operations,region_7,Master's & above,m,other,2,41,3.0,6,0,62,0
172,R&D,region_2,Bachelor's,f,other,2,34,4.0,8,0,81,0
19530,Procurement,region_13,Bachelor's,m,other,1,40,4.0,13,0,69,0
55089,Procurement,region_31,Bachelor's,f,sourcing,1,25,3.0,2,0,71,0
67427,Technology,region_7,Master's & above,m,other,1,43,4.0,4,0,78,0
69655,Operations,region_23,Bachelor's,f,other,2,35,5.0,7,0,61,0
70897,Operations,region_13,Master's & above,m,other,1,40,3.0,5,1,72,1
34807,Procurement,region_2,Master's & above,m,other,1,38,5.0,7,0,68,1
24991,Operations,region_11,Master's & above,f,sourcing,1,38,4.0,3,0,57,0
75564,Operations,region_22,Master's & above,f,other,1,47,5.0,18,0,58,0
77995,Operations,region_28,Bachelor's,m,other,1,30,3.0,2,0,62,0
6344,Operations,region_27,Bachelor's,m,sourcing,1,30,3.0,11,0,56,0
18408,Sales & Marketing,region_22,Master's & above,m,other,1,31,5.0,2,0,48,0
26610,Sales & Marketing,region_34,Bachelor's,m,sourcing,2,33,4.0,2,0,53,0
14844,Operations,region_1,Bachelor's,m,other,1,31,4.0,3,0,62,1
69340,Procurement,region_12,Master's & above,m,other,1,37,3.0,7,0,70,0
16845,HR,region_31,Bachelor's,f,sourcing,1,29,3.0,2,0,53,0
25486,Analytics,region_22,Bachelor's,m,other,1,28,3.0,4,0,85,1
45962,Technology,region_2,Bachelor's,m,other,1,26,4.0,3,0,83,0
30266,Procurement,region_10,Bachelor's,f,other,1,30,5.0,5,1,85,1
34626,Sales & Marketing,region_28,Master's & above,m,other,1,39,3.0,11,0,49,0
45687,Operations,region_19,Bachelor's,f,sourcing,1,35,3.0,9,0,59,0
36189,Procurement,region_2,Master's & above,f,other,3,49,3.0,6,0,70,0
10486,Technology,region_27,Bachelor's,m,other,1,29,4.0,1,0,85,0
18179,Operations,region_27,Master's & above,f,other,1,43,3.0,11,1,99,1
57067,Procurement,region_2,Bachelor's,m,sourcing,2,37,3.0,10,0,72,0
40838,Technology,region_26,Bachelor's,f,other,1,38,3.0,10,0,82,0
570,Sales & Marketing,region_2,Bachelor's,f,sourcing,1,40,4.0,6,0,52,0
23261,Sales & Marketing,region_28,Master's & above,m,other,2,35,3.0,5,0,51,0
66875,Operations,region_29,Bachelor's,m,sourcing,1,30,4.0,2,0,61,0
1586,Procurement,region_31,Master's & above,f,other,1,32,3.0,6,0,71,0
29199,Operations,region_22,Bachelor's,m,other,1,33,1.0,3,0,59,0
42886,Analytics,region_29,Bachelor's,m,other,1,30,1.0,4,0,84,0
15645,Analytics,region_29,Bachelor's,f,other,1,32,1.0,6,0,89,0
15504,Technology,region_28,Master's & above,f,other,1,32,2.0,4,0,82,0
41870,Sales & Marketing,region_10,Bachelor's,m,sourcing,2,34,3.0,3,0,50,0
44350,Procurement,region_2,Bachelor's,f,other,2,39,3.0,11,0,73,0
38009,Finance,region_19,Bachelor's,m,other,1,30,4.0,3,0,59,0
61889,Analytics,region_7,Bachelor's,m,sourcing,2,48,3.0,6,0,81,0
8384,HR,region_20,Master's & above,f,other,1,35,3.0,5,0,51,0
50887,Legal,region_2,Bachelor's,f,other,1,37,3.0,8,0,62,0
16479,Analytics,region_2,Master's & above,m,other,1,36,1.0,4,0,85,0
12939,Analytics,region_13,Master's & above,m,other,2,35,3.0,5,0,85,0
65905,Operations,region_7,Master's & above,f,other,1,50,3.0,5,0,62,0
69377,Operations,region_22,Master's & above,f,other,1,34,5.0,4,0,62,0
15876,Technology,region_27,Bachelor's,m,sourcing,1,27,4.0,3,0,79,0
15292,Sales & Marketing,region_17,Bachelor's,m,sourcing,1,31,3.0,7,0,52,0
78181,Technology,region_13,Master's & above,m,other,1,32,1.0,7,0,81,0
55433,Sales & Marketing,region_14,Master's & above,m,other,1,41,5.0,3,0,50,0
33710,Technology,region_22,Master's & above,m,other,1,50,3.0,7,0,77,0
15164,HR,region_22,Bachelor's,m,sourcing,1,25,1.0,3,0,52,0
11542,Technology,region_7,Master's & above,f,other,2,42,3.0,12,0,82,0
42110,Sales & Marketing,region_7,Bachelor's,f,other,1,37,5.0,3,0,49,0
29545,Operations,region_8,Bachelor's,m,other,1,33,3.0,5,0,56,0
8581,Analytics,region_21,Bachelor's,m,sourcing,2,27,5.0,3,0,90,0
5006,Sales & Marketing,region_7,Master's & above,m,sourcing,1,40,2.0,6,0,48,0
67895,Operations,region_14,Bachelor's,m,other,1,27,4.0,2,0,63,0
48428,Operations,region_2,Master's & above,f,sourcing,1,37,5.0,3,0,60,0
42929,Procurement,region_15,Bachelor's,m,other,1,32,1.0,6,0,71,0
74405,Sales & Marketing,region_26,Bachelor's,m,other,1,26,2.0,3,0,44,0
48473,Technology,region_4,Bachelor's,m,sourcing,1,26,1.0,5,0,81,0
